"25-03-2008",83,78,66,66,79,83,79,74,69,69,81,84,86,85,83,89,95,96,97,92,75,77,79,80
"26-03-2008",84,73,81,81,87,81,60,43,35,44,66,84,85,89,92,95,94,95,82,79,72,63,60,66
"27-03-2008",70,70,61,66,68,70,70,66,34,26,43,71,87,92,87,86,79,88,85,80,65,55,68,70
"28-03-2008",79,74,77,80,72,69,79,63,33,32,44,61,65,68,64,71,76,73,67,64,55,51,56,53
"29-03-2008",68,74,76,66,75,77,73,52,34,33,59,82,89,89,91,96,99,101,91,87,58,26,23,52
"30-03-2008",64,61,60,44,57,42,49,18,40,32,45,85,95,99,100,98,90,90,81,80,66,61,59,36
"31-03-2008",32,23,24,44,34,34,31,24,14,18,40,67,84,98,101,107,107,93,80,82,84,65,55,-9999
"01-04-2008",72,68,61,64,49,43,49,33,17,37,44,47,28,34,39,42,42,45,50,48,38,29,29,32
"02-04-2008",31,30,29,38,52,47,34,28,16,19,27,35,42,47,48,47,57,58,52,49,42,35,32,30
"03-04-2008",39,37,33,34,31,30,24,19,14,14,16,23,25,30,33,39,42,46,48,47,42,39,32,28
"04-04-2008",32,36,34,31,32,33,27,22,17,16,15,20,32,38,46,43,42,40,41,38,30,22,23,26
"05-04-2008",27,29,29,27,26,24,23,25,22,23,24,26,30,30,31,33,34,32,29,26,23,19,18,22
"06-04-2008",19,18,18,19,19,18,17,18,19,21,29,42,45,51,61,67,64,52,56,54,52,47,46,62
"07-04-2008",70,66,69,51,39,34,27,23,17,17,23,37,50,72,71,72,71,74,73,62,55,52,46,31
"08-04-2008",23,21,22,18,17,14,15,15,14,13,15,19,25,29,32,33,36,34,37,32,23,16,14,-9999
"09-04-2008",14,16,20,19,18,17,16,14,15,18,20,22,29,41,41,47,46,39,33,34,35,36,32,31
"10-04-2008",20,21,23,25,22,18,15,14,13,13,14,18,28,31,35,35,40,37,36,34,27,26,21,18
"11-04-2008",17,17,16,17,15,15,14,14,13,14,14,13,14,15,20,23,26,27,26,23,22,23,21,21
"12-04-2008",17,15,15,14,14,14,14,14,14,15,15,15,19,23,26,28,31,31,32,26,27,22,19,18
"13-04-2008",17,15,15,14,15,15,14,14,14,14,15,18,24,29,35,36,37,36,35,30,28,25,20,19
"14-04-2008",20,17,18,20,25,22,23,17,14,13,14,18,23,25,26,28,29,34,32,32,25,23,19,-9999
"15-04-2008",25,28,30,34,40,38,41,34,32,37,48,50,53,58,68,72,75,77,74,71,66,58,53,38
"16-04-2008",40,47,51,47,49,58,45,40,44,56,63,63,68,70,71,71,72,72,75,72,71,61,52,46
"17-04-2008",47,47,52,50,42,34,33,28,24,23,23,26,33,33,41,43,38,38,38,36,37,31,28,26
"18-04-2008",26,24,26,24,21,23,23,18,16,19,20,27,30,31,40,47,46,43,42,42,32,28,28,30
"19-04-2008",29,26,21,16,15,16,14,14,14,16,20,28,34,36,38,40,44,39,37,38,38,32,25,24
"20-04-2008",23,20,17,17,18,18,17,14,15,16,22,27,34,39,45,46,49,47,45,39,36,37,37,41
"21-04-2008",37,25,24,36,33,30,27,18,15,15,19,25,33,36,39,40,40,44,36,33,34,36,39,40
"22-04-2008",32,30,27,28,24,20,15,14,14,13,16,21,32,52,68,76,84,87,83,80,71,65,68,67
"23-04-2008",63,61,56,42,33,34,28,24,18,24,42,51,56,56,60,58,56,60,65,64,59,54,43,-9999
"24-04-2008",42,40,44,46,35,29,25,23,18,29,88,69,81,86,84,88,93,94,87,78,69,63,69,86
"25-04-2008",86,79,74,69,64,60,67,67,60,58,55,58,62,67,72,68,75,78,72,67,61,58,64,58
"26-04-2008",58,68,58,48,47,55,70,58,58,65,63,65,68,69,68,70,75,74,76,75,66,63,66,65
"27-04-2008",64,58,64,68,60,66,64,57,51,52,66,74,77,77,80,80,80,77,71,70,68,62,58,57
"28-04-2008",60,58,57,60,40,35,41,38,34,37,63,67,80,86,85,88,92,93,88,83,66,50,35,31
"29-04-2008",21,37,43,42,17,32,23,13,24,26,54,72,85,89,95,94,92,88,91,95,92,88,83,81
"30-04-2008",75,70,70,76,82,70,68,60,37,58,85,94,99,99,99,103,105,102,100,83,73,63,57,59
"01-05-2008",57,45,37,48,38,54,40,28,32,61,76,94,103,106,101,101,102,97,89,84,76,69,68,70
"02-05-2008",70,68,70,68,48,29,27,23,43,55,66,81,87,100,105,105,110,107,97,89,75,56,51,42
"03-05-2008",64,84,90,90,93,90,83,72,75,74,85,90,91,93,99,106,105,104,92,90,84,72,64,61
"04-05-2008",77,86,91,93,92,91,87,83,80,85,90,93,96,100,101,101,100,100,96,89,80,74,72,70
"05-05-2008",64,68,79,80,70,71,53,28,35,69,84,87,91,94,94,90,91,90,84,80,71,69,68,74
"06-05-2008",69,61,66,46,51,60,30,21,29,49,76,81,80,79,82,81,84,91,90,76,70,71,77,83
"07-05-2008",87,85,86,90,86,88,86,78,59,62,65,62,63,70,81,80,84,78,85,83,69,60,55,54
"08-05-2008",52,54,57,50,52,32,24,20,22,36,55,84,86,94,97,101,100,103,102,98,83,30,14,28
"09-05-2008",27,18,17,24,32,28,37,9,16,41,55,82,104,113,112,117,118,112,101,93,86,76,61,62
"10-05-2008",86,96,87,83,84,83,78,71,66,65,89,90,92,89,88,89,87,89,90,86,83,82,85,84
"11-05-2008",86,81,84,82,73,71,74,70,69,72,76,81,83,83,84,89,94,95,88,80,71,69,66,67
"12-05-2008",49,62,47,52,38,39,30,10,16,49,75,93,99,98,93,96,97,91,89,83,77,66,69,73
"13-05-2008",75,78,77,76,67,51,50,40,40,64,84,90,95,92,98,93,90,88,83,79,78,76,76,72
"14-05-2008",62,64,63,60,50,61,48,37,44,43,47,60,69,77,81,90,99,98,92,69,60,56,60,64
"15-05-2008",61,63,60,59,54,50,28,26,30,58,72,85,92,101,103,105,107,101,93,89,91,82,77,74
"16-05-2008",67,69,62,57,61,30,37,26,22,37,83,101,98,98,101,103,103,102,100,91,77,68,70,73
