COMPONENT PM10 (aerosol), day
STATION LARISA
20081217 00:00,49,1
20081218 00:00,45,1
20081219 00:00,49,1
20081220 00:00,37,1
20081221 00:00,29,1
20081222 00:00,27,1
20081223 00:00,52,1
20081224 00:00,27,1
20081225 00:00,50,1
20081226 00:00,40,1
20081227 00:00,20,1
20081228 00:00,25,1
20081229 00:00,36,1
20081230 00:00,42,1
20081231 00:00,60,1
